Token	POS-Tag	OOV	Id	Index	Granularidade	Documento
Brasil	PROPN	0	1	0	0	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
inicia	VERB	0	1	1	0	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
construção	NOUN	0	1	2	0	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
do	ADP	0	1	3	0	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
5	PROPN	0	1	4	0	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
Plano	PROPN	0	1	5	0	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
de	ADP	0	1	6	0	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
Ação	PROPN	0	1	7	0	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
Nacional	PROPN	0	1	8	0	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
de	ADP	0	1	9	0	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
Governo	PROPN	0	1	10	0	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
Aberto	PROPN	0	1	11	0	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
0	['PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN', 'ADP', 'PROPN', 'PROPN']	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	1	0	1	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
CGU	PROPN	1	2	0	0	CGU apoia evento para criação de laboratórios de inovação no setor público
apoia	VERB	0	2	1	0	CGU apoia evento para criação de laboratórios de inovação no setor público
evento	NOUN	0	2	2	0	CGU apoia evento para criação de laboratórios de inovação no setor público
para	ADP	0	2	3	0	CGU apoia evento para criação de laboratórios de inovação no setor público
criação	NOUN	0	2	4	0	CGU apoia evento para criação de laboratórios de inovação no setor público
de	ADP	0	2	5	0	CGU apoia evento para criação de laboratórios de inovação no setor público
laboratórios	NOUN	0	2	6	0	CGU apoia evento para criação de laboratórios de inovação no setor público
de	ADP	0	2	7	0	CGU apoia evento para criação de laboratórios de inovação no setor público
inovação	NOUN	0	2	8	0	CGU apoia evento para criação de laboratórios de inovação no setor público
no	ADP	0	2	9	0	CGU apoia evento para criação de laboratórios de inovação no setor público
setor	NOUN	0	2	10	0	CGU apoia evento para criação de laboratórios de inovação no setor público
público	ADJ	0	2	11	0	CGU apoia evento para criação de laboratórios de inovação no setor público
1	['PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ']	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	2	1	1	CGU apoia evento para criação de laboratórios de inovação no setor público
Covid	PROPN	1	3	0	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
-	PUNCT	0	3	1	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
19	NUM	0	3	2	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
CGU	PROPN	1	3	3	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
e	CCONJ	0	3	4	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
PF	PROPN	1	3	5	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
apuram	VERB	1	3	6	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
irregularidades	NOUN	1	3	7	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
na	ADP	0	3	8	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
Secretaria	PROPN	0	3	9	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
de	ADP	0	3	10	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
Saúde	PROPN	0	3	11	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
do	ADP	0	3	12	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
Piauí	PROPN	0	3	13	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
2	['PROPN', 'PUNCT', 'NUM', 'PROPN', 'CCONJ', 'PROPN', 'VERB', 'NOUN', 'ADP', 'PROPN', 'ADP', 'PROPN', 'ADP', 'PROPN']	[1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]	3	2	1	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
Covid	PROPN	1	4	0	0	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
-	PUNCT	0	4	1	0	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
19	NUM	0	4	2	0	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
CGU	PROPN	1	4	3	0	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
e	CCONJ	0	4	4	0	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
PF	PROPN	1	4	5	0	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
aprofundam	VERB	1	4	6	0	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
investigações	NOUN	0	4	7	0	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
de	ADP	0	4	8	0	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
fraudes	NOUN	1	4	9	0	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
no	ADP	0	4	10	0	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
Piauí	PROPN	0	4	11	0	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
3	['PROPN', 'PUNCT', 'NUM', 'PROPN', 'CCONJ', 'PROPN', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN']	[1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0]	4	3	1	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
CGU	PROPN	1	5	0	0	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
convida	VERB	0	5	1	0	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
cidadãos	NOUN	0	5	2	0	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
a	SCONJ	0	5	3	0	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
participarem	VERB	1	5	4	0	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
do	ADP	0	5	5	0	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
seu	DET	0	5	6	0	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
Conselho	PROPN	0	5	7	0	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
de	ADP	0	5	8	0	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
Serviços	PROPN	0	5	9	0	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
Públicos	PROPN	1	5	10	0	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
4	['PROPN', 'VERB', 'NOUN', 'SCONJ', 'VERB', 'ADP', 'DET', 'PROPN', 'ADP', 'PROPN', 'PROPN']	[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1]	5	4	1	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
Definido	VERB	1	6	0	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
cronograma	NOUN	1	6	1	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
de	ADP	0	6	2	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
trabalho	NOUN	0	6	3	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
do	ADP	0	6	4	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
GT	PROPN	0	6	5	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
que	PRON	0	6	6	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
revisará	VERB	1	6	7	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
códigos	NOUN	0	6	8	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
de	ADP	0	6	9	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
ética	NOUN	0	6	10	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
do	ADP	0	6	11	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
governo	NOUN	0	6	12	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
federal	ADJ	0	6	13	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
5	['VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'PRON', 'VERB', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'ADJ']	[1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]	6	5	1	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
Artigo	NOUN	1	7	0	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
da	ADP	0	7	1	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
Revista	NOUN	0	7	2	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
da	ADP	0	7	3	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
CGU	PROPN	1	7	4	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
integra	VERB	0	7	5	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
Portal	NOUN	1	7	6	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
da	ADP	0	7	7	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
OMS	PROPN	1	7	8	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
