Sentença	Id	Index	Granularidade	Documento
Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto	1	0	0	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
0	1	-1	1	Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
CGU apoia evento para criação de laboratórios de inovação no setor público	2	0	0	CGU apoia evento para criação de laboratórios de inovação no setor público
1	2	-1	1	CGU apoia evento para criação de laboratórios de inovação no setor público
Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí	3	0	0	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
2	3	-1	1	Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí	4	0	0	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
3	4	-1	1	Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos	5	0	0	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
4	5	-1	1	CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal	6	0	0	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
5	6	-1	1	Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19	7	0	0	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
6	7	-1	1	Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
CGU seleciona servidores federais para sua equipe de Tecnologia da Informação	8	0	0	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
7	8	-1	1	CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal	9	0	0	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
8	9	-1	1	CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
Instabilidade de acesso ao Portal da Transparência do Governo Federal	10	0	0	Instabilidade de acesso ao Portal da Transparência do Governo Federal
9	10	-1	1	Instabilidade de acesso ao Portal da Transparência do Governo Federal
Atualização das Despesas Públicas no Portal da Transparência	11	0	0	Atualização das Despesas Públicas no Portal da Transparência
10	11	-1	1	Atualização das Despesas Públicas no Portal da Transparência
CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020	12	0	0	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
11	12	-1	1	CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais	13	0	0	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
12	13	-1	1	GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
Força - tarefa combate fraudes no fornecimento de material didático na Paraíba	14	0	0	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
13	14	-1	1	Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro	15	0	0	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
14	15	-1	1	Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
Investigação no Fundo de Financiamento do Ensino Superior FIES	16	0	0	Investigação no Fundo de Financiamento do Ensino Superior FIES
15	16	-1	1	Investigação no Fundo de Financiamento do Ensino Superior FIES
Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto	17	0	0	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
16	17	-1	1	Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
LENI NCIA	18	0	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
CGU, AGU e MPF celebram acordo com a Samsung Heavy Industries	18	1	0	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
17	18	-1	1	LENI NCIA CGU , AGU e MPF celebram acordo com a Samsung Heavy Industries
CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social	19	0	0	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
18	19	-1	1	CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
CGU e PF combatem superfaturamento na saúde em Araguaína TO	20	0	0	CGU e PF combatem superfaturamento na saúde em Araguaína TO
