id;sentencas;documento
1;['Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto'];Brasil inicia construção do 5 Plano de Ação Nacional de Governo Aberto
2;['CGU apoia evento para criação de laboratórios de inovação no setor público'];CGU apoia evento para criação de laboratórios de inovação no setor público
3;['Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí'];Covid - 19 CGU e PF apuram irregularidades na Secretaria de Saúde do Piauí
4;['Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí'];Covid - 19 CGU e PF aprofundam investigações de fraudes no Piauí
5;['CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos'];CGU convida cidadãos a participarem do seu Conselho de Serviços Públicos
6;['Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal'];Definido cronograma de trabalho do GT que revisará códigos de ética do governo federal
7;['Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19'];Artigo da Revista da CGU integra Portal da OMS de literatura sobre Covid - 19
8;['CGU seleciona servidores federais para sua equipe de Tecnologia da Informação'];CGU seleciona servidores federais para sua equipe de Tecnologia da Informação
9;['CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal'];CGU no Maranhão realiza oficina sobre os 100 Primeiros Dias da Gestão Municipal
10;['Instabilidade de acesso ao Portal da Transparência do Governo Federal'];Instabilidade de acesso ao Portal da Transparência do Governo Federal
11;['Atualização das Despesas Públicas no Portal da Transparência'];Atualização das Despesas Públicas no Portal da Transparência
12;['CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020'];CGU publica Relatório de Gestão Fiscal do terceiro quadrimestre de 2020
13;['GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais'];GT - tica inclui entrevistas com especialistas no processo de reformulação das normas federais
14;['Força - tarefa combate fraudes no fornecimento de material didático na Paraíba'];Força - tarefa combate fraudes no fornecimento de material didático na Paraíba
15;['Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro'];Covid - 19 CGU e PF combatem desvios de recursos no Rio de Janeiro
16;['Investigação no Fundo de Financiamento do Ensino Superior FIES'];Investigação no Fundo de Financiamento do Ensino Superior FIES
17;['Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto'];Está aberta consulta para priorização de temas do 5 Plano de Ação Nacional de Governo Aberto
18;['LENI NCIA', 'CGU, AGU e MPF celebram acordo com a Samsung Heavy Industries'];LENI NCIA CGU, AGU e MPF celebram acordo com a Samsung Heavy Industries
19;['CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social'];CGU realiza encontro virtual sobre enfrentamento à COVID - 19 e participação social
20;['CGU e PF combatem superfaturamento na saúde em Araguaína TO'];CGU e PF combatem superfaturamento na saúde em Araguaína TO
21;['Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais'];Estudo comparado de códigos de ética nacionais e internacionais balizam revisão de normas federais
22;['Combate à corrupção exige especialização e trabalho conjunto, defende ministro da CGU'];Combate à corrupção exige especialização e trabalho conjunto, defende ministro da CGU
23;['LAI', 'Tratamento de dados pessoais é tema de nova capacitação da CGU'];LAI Tratamento de dados pessoais é tema de nova capacitação da CGU
24;['Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA'];Covid - 19 CGU e PF combatem desvios da saúde em Pinheiro MA
25;['CGU realiza 16 Reunião da Comissão de Coordenação de Controle Interno'];CGU realiza 16 Reunião da Comissão de Coordenação de Controle Interno
26;['Ministro da CGU participa de lançamento do Plano de Integridade da Dataprev'];Ministro da CGU participa de lançamento do Plano de Integridade da Dataprev
27;['Chamada pública seleciona pesquisadores para projeto realizado pela CGU e Ipea'];Chamada pública seleciona pesquisadores para projeto realizado pela CGU e Ipea
28;['Atualização das Despesas Públicas no Portal da Transparência'];Atualização das Despesas Públicas no Portal da Transparência
29;['SFC lança o infográfico Jornada do Auditor Interno Governamental'];SFC lança o infográfico Jornada do Auditor Interno Governamental
30;['CGU divulga resultado de seleção para Diretoria de Tecnologia da Informação'];CGU divulga resultado de seleção para Diretoria de Tecnologia da Informação
31;['OGU promove debates em alusão ao Dia do Ouvidor'];OGU promove debates em alusão ao Dia do Ouvidor
32;['CGU publica norma operacional do Sistema de Ouvidorias do Executivo Federal'];CGU publica norma operacional do Sistema de Ouvidorias do Executivo Federal
33;['Governo Federal atinge a marca de 1 milhão de pedidos de acesso à informação'];Governo Federal atinge a marca de 1 milhão de pedidos de acesso à informação
34;['Revista da CGU abre chamada para dossiê especial sobre regulação na melhoria do Estado'];Revista da CGU abre chamada para dossiê especial sobre regulação na melhoria do Estado
35;['CGU divulga resultado da 2 edição da Escala Brasil Transparente - Avaliação 360'];CGU divulga resultado da 2 edição da Escala Brasil Transparente - Avaliação 360
36;['STPC realiza primeiro encontro virtual de 2021 do Diálogos em Controle Social'];STPC realiza primeiro encontro virtual de 2021 do Diálogos em Controle Social
37;['CGU conclui três ações do Plano Anticorrupção do Governo Federal'];CGU conclui três ações do Plano Anticorrupção do Governo Federal
38;['CGU abre consulta pública sobre normativo de Tomadas de Contas Especiais'];CGU abre consulta pública sobre normativo de Tomadas de Contas Especiais
39;['Prosa de Ouvidoria Lei Geral de Proteção de Dados Pessoais foi tema do 1 dia'];Prosa de Ouvidoria Lei Geral de Proteção de Dados Pessoais foi tema do 1 dia
40;['Rede Nacional de Ouvidorias promove live sobre LGPD'];Rede Nacional de Ouvidorias promove live sobre LGPD
41;['Ações de auditoria da CGU somaram R 17, 9 bilhões em benefícios financeiros em 2020'];Ações de auditoria da CGU somaram R 17, 9 bilhões em benefícios financeiros em 2020
42;['Tratamento da informação pessoal em face da LAI e da LGPD é tema de live na CGU'];Tratamento da informação pessoal em face da LAI e da LGPD é tema de live na CGU
43;['Prosa de Ouvidoria', 'Modelos para medir maturidade de gestão foi tema do 2 dia'];Prosa de Ouvidoria Modelos para medir maturidade de gestão foi tema do 2 dia
44;['Prosa de Ouvidoria Proteção ao denunciante no Brasil foi tema do 3 dia'];Prosa de Ouvidoria Proteção ao denunciante no Brasil foi tema do 3 dia
45;['GT - tica se reúne para tratar de precedentes da Comissão de tica Pública'];GT - tica se reúne para tratar de precedentes da Comissão de tica Pública
46;['Governo Federal celebra o Dia Mundial da gua e promove o Seminário das guas', 'Brasileiras'];Governo Federal celebra o Dia Mundial da gua e promove o Seminário das guas Brasileiras
47;['Prosa de Ouvidoria', 'Conselho de Usuários de Serviços Públicos foi tema do 4 dia'];Prosa de Ouvidoria Conselho de Usuários de Serviços Públicos foi tema do 4 dia
48;['Ministro da CGU apresenta a importância da ética e do controle interno para a boa gestão pública'];Ministro da CGU apresenta a importância da ética e do controle interno para a boa gestão pública
49;['Governo Federal analisa se vacinas estão sendo aplicadas nas pessoas', 'certas'];Governo Federal analisa se vacinas estão sendo aplicadas nas pessoas certas
50;['CGU realiza evento sobre combate ao assédio sexual no ambiente de trabalho'];CGU realiza evento sobre combate ao assédio sexual no ambiente de trabalho
51;['Prosa de Ouvidoria Soluções para inteligência artificial foi tema do último dia'];Prosa de Ouvidoria Soluções para inteligência artificial foi tema do último dia
52;['CGU participa de live sobre o enfrentamento da corrupção no Brasil'];CGU participa de live sobre o enfrentamento da corrupção no Brasil
53;['Revista da CGU seleciona pesquisadores para compor cadastro de revisores'];Revista da CGU seleciona pesquisadores para compor cadastro de revisores
54;['Wagner Rosário fala sobre os desafios do gestor público no combate à corrupção'];Wagner Rosário fala sobre os desafios do gestor público no combate à corrupção
55;['Ouvidoria - Geral da União divulga Relatório de Gestão 2020'];Ouvidoria - Geral da União divulga Relatório de Gestão 2020
56;['Controladoria - Geral da União publica Relatório de Gestão de 2020'];Controladoria - Geral da União publica Relatório de Gestão de 2020
57;['CGU publica novo plano de ação da Infraestrutura Nacional de Dados Abertos'];CGU publica novo plano de ação da Infraestrutura Nacional de Dados Abertos
58;['Revista da CGU lança plano editorial para biênio 2021 - 2022'];Revista da CGU lança plano editorial para biênio 2021 - 2022
59;['CGU realiza segundo encontro virtual do Diálogos em Controle Social'];CGU realiza segundo encontro virtual do Diálogos em Controle Social
60;['CGU, PF e MPF combatem desvios de recursos no Incra do Amazonas'];CGU, PF e MPF combatem desvios de recursos no Incra do Amazonas
61;['CGU divulga Prestação de Contas do Presidente da República de 2020'];CGU divulga Prestação de Contas do Presidente da República de 2020
62;['CGU e PF combatem fraudes na aquisição de materiais escolares em Pernambuco'];CGU e PF combatem fraudes na aquisição de materiais escolares em Pernambuco
63;['CGU abre consulta para aprimorar norma do Plano Anual de Auditoria Interna'];CGU abre consulta para aprimorar norma do Plano Anual de Auditoria Interna
64;['CGU e Polícia Federal deflagram mais duas fases da Operação Rota BR 090'];CGU e Polícia Federal deflagram mais duas fases da Operação Rota BR 090
65;['Covid - 19 CGU e PF reforçam apuração de desvios na saúde em Rio Branco', 'AC'];Covid - 19 CGU e PF reforçam apuração de desvios na saúde em Rio Branco AC
66;['Polícias Federal, Civil e Militar prendem investigados por assaltos a instituições bancárias em Salvador'];Polícias Federal, Civil e Militar prendem investigados por assaltos a instituições bancárias em Salvador
67;['Polícia Federal apreende mais de três toneladas de pirarucu no Amazonas'];Polícia Federal apreende mais de três toneladas de pirarucu no Amazonas
68;['PF e BPFRON localizam depósito de produtos contrabandeados em Foz do Iguaçu PR'];PF e BPFRON localizam depósito de produtos contrabandeados em Foz do Iguaçu PR
69;['PF prende um homem e apreende mais de 300 comprimidos de ecstasy'];PF prende um homem e apreende mais de 300 comprimidos de ecstasy
70;['PF investiga esquema de venda de relíquias arqueológicas encontradas no Acre'];PF investiga esquema de venda de relíquias arqueológicas encontradas no Acre
71;['PF apreende carga de cigarros paraguaios e veículos usados no transporte da mercadoria'];PF apreende carga de cigarros paraguaios e veículos usados no transporte da mercadoria
72;['Polícia Federal prende casal por tráfico de drogas em Macapá'];Polícia Federal prende casal por tráfico de drogas em Macapá
73;['Polícia Federal e Receita Federal prendem dois homens por tráfico de animais silvestres'];Polícia Federal e Receita Federal prendem dois homens por tráfico de animais silvestres
74;['PF prende em flagrante homem que teria compartilhado imagens pornográficas de menor'];PF prende em flagrante homem que teria compartilhado imagens pornográficas de menor
75;['PF e BPFRON interceptam comboio com veículos carregados com cigarros contrabandeados'];PF e BPFRON interceptam comboio com veículos carregados com cigarros contrabandeados
76;['PF apreende cocaína encontrada em navio no Porto de bidos PA'];PF apreende cocaína encontrada em navio no Porto de bidos PA
77;['PF prende homem em flagrante com cédulas falsas'];PF prende homem em flagrante com cédulas falsas
78;['PF prende passageiro de voo internacional com mais de 2 kg de cocaína'];PF prende passageiro de voo internacional com mais de 2 kg de cocaína
79;['PF cumpre mandado de prisão preventiva de suspeito de cometer crimes de roubo contra os Correios'];PF cumpre mandado de prisão preventiva de suspeito de cometer crimes de roubo contra os Correios
80;['PF faz duas apreensões de cédulas falsas na região de Jales SP'];PF faz duas apreensões de cédulas falsas na região de Jales SP
81;['PF e BPFRON apreendem veículo carregado com cigarros contrabandeados'];PF e BPFRON apreendem veículo carregado com cigarros contrabandeados
